artist,title,url
TWICE,Strategy,https://youtu.be/Sz_wWzgh-vQ?si=BHfiimvkqNkyACSd
TWICE,THIS IS FOR,https://youtu.be/eHHQaoEW30Q?si=_iCXe2ZgZhbMw2Af
Red Velvet,행복 (Happiness),https://youtu.be/JFgv8bKfxEs?si=RIqiXvl3L_-9M5Eu
Red Velvet,Ice Cream Cake,https://youtu.be/glXgSSOKlls?si=D7mzlTfxQWiSW7YW
Red Velvet,Dumb Dumb,https://youtu.be/XGdbaEDVWp0?si=ULFocJxOPOTs8ERB
Red Velvet,러시안 룰렛 (Russian Roulette),https://youtu.be/QslJYDX3o8s?si=fyINNtUA9wcnUWT1
Red Velvet,Rookie,https://youtu.be/J0h8-OTC38I?si=6IiiySnipe1reaqg
Red Velvet,빨간 맛 (Red Flavor),https://youtu.be/WyiIGEHQP8o?si=34EOp88PZvpPIn85
Red Velvet,피카부 (Peek-A-Boo),https://youtu.be/6uJf2IT2Zh8?si=yk_c54oDXh-mK8PZ
Red Velvet,Bad Boy,https://youtu.be/J_CFBjAyPWE?si=cJVdY1FSs4LJg0hD
Red Velvet,Power Up,https://youtu.be/aiHSVQy9xN8?si=fLm-AzwbPvLLsl2y
Red Velvet,RBB (Really Bad Boy),https://youtu.be/IWJUPY-2EIM?si=BqOYDAUSQx1b6T0E
Red Velvet,짐살라빔 (Zimzalabim),https://youtu.be/YBnGBb1wg98?si=6-JQ2IFJ-OWB71Et
Red Velvet,음파음파 (Umpah Umpah),https://youtu.be/vHS9E6JFja8?si=5qVsOT6g2IHS2Sse
Red Velvet,Psycho,https://youtu.be/uR8Mrt1IpXg?si=aid8QoMxwAHcAH5Z
Red Velvet,Queendom,https://youtu.be/c9RzZpV460k?si=Iwj8L9B48Kxb2jrn
Red Velvet,Feel My Rhythm,https://youtu.be/R9At2ICm4LQ?si=Vm7yhnTM7OdFiR86
Red Velvet,Birthday,https://youtu.be/Ut1OzEVUiM4?si=IHa23zGwOCE6mJGm
Red Velvet X aespa,Beautiful Christmas,https://youtu.be/iTgcp1oDk2M?si=cnXwfeutFxMXNOn9
Red Velvet,Cosmic,https://youtu.be/FyG21rXCxlY?si=1VFYxWLng9v6YGzs
Red Velvet,Chill Kill,https://youtu.be/xlyrt5eAtKI?si=_GBgJeDhqNomkBM7
H1-KEY,세상은 영화 같지 않더라,https://youtu.be/izGJjwhCEaI?si=u7Ib6uQob4jz2MPY
H1-KEY,여름이었다,https://youtu.be/1NeLQ-Wl5QU?si=ocgCjdiggU1d8s9o
H1-KEY,뜨거워지자(Let It Burn),https://youtu.be/GRgUK0JGoNg?si=jZOYuTYtXgFZ6Pfm
H1-KEY,RUN,https://youtu.be/vmVusTRIDdg?si=WyOqrA38SmfVo3O5
H1-KEY,나의 첫사랑에게 (To. My First Love),https://youtu.be/sBx08M4cDME?si=erO4ia7fJGuF04Du
aespa,Black Mamba,https://youtu.be/ZeerrnuLi5E?si=4L-jN6fjEg2tmvdZ
aespa,Forever (약속),https://youtu.be/wog1R1d4zls?si=9Bw432t59qWuwxWG
aespa,Next Level,https://youtu.be/4TWR90KJl84?si=TPvqe4aKMGoupRA1
aespa,Savage,https://youtu.be/WPdWvnAAurg?si=Y4L-Vj5naf42bIgg
aespa,Dreams Come True,https://youtu.be/H69tJmsgd9I?si=2rKr6u6mH2cME9aL
aespa,Girls,https://youtu.be/dYRITmpFbJ4?si=1OWxB6U8guklIbAy
aespa,Welcome To MY World,https://youtu.be/0xdB_vo4r2c?si=LtwRX-Tzf6UEkk5d
aespa,Spicy,https://youtu.be/Os_heh8vPfs?si=cnswJvSNDzl8VQPo
aespa,Better Things,https://youtu.be/gfk3QLU1x0E?si=DBDbm2kUhJ-FNi6V
aespa,Drama,https://youtu.be/D8VEhcPeSlc?si=Co8atFCOoz4asSeN
aespa,Supernova,https://youtu.be/phuiiNCxRMg?si=UlqGUIOdq9Y01hi4
aespa,Armageddon,https://youtu.be/nFYwcndNuOY?si=m5pvkCaAqkFU7XNx
aespa,Live My Life,https://youtu.be/YEA1ROHi0Eg?si=GngXeMZKFHYbzBXX
aespa,Rich Man,https://youtu.be/5oQVTnq-UKk?si=DTxauj1kuuPeuCco
LE SSERAFIM,CELEBRATION,https://youtu.be/a2grcJdfXmY?si=AaeXQd6bROX48135
IVE,ELEVEN,https://youtu.be/--FmExEAsM8?si=hnaV1GxIsF_Hk3TC
IVE,LOVE DIVE,https://youtu.be/Y8JFxS1HlDo?si=PGVHZEovH6im-Ipf
IVE,After LIKE,https://youtu.be/F0B7HDiY-10?si=mCEUlSsCZjurLcAx
IVE,Kitsch,https://youtu.be/pG6iaOMV46I?si=TRxhvq7o5J_rbhL3
IVE,I AM,https://youtu.be/6ZUIwj3FgUY?si=sNiyn8zdZjmea_Se
IVE,Either Way,https://youtu.be/_Hu4GYtye5U?si=8AthsdpY10yoqVIW
